timestamp,xtime,event
48332660,30,83
48333439,496,82
48334439,73,84
48335440,157,80
48335598,206,86
48335805,27,85
48336446,13,81
48337439,65,82
48337505,31,83
48338439,159,80
48339442,14,84
48340439,42,81
48341254,178,40
48341436,190,80
48341628,65,82
48341694,14,86
48341709,48,72
48342042,32,88
48342451,30,83
48342482,10,85
48344464,159,80
48344624,41,81
48344666,14,84
48345443,502,82
48347459,97,80
48347557,30,83
48347588,253,86
48348451,13,81
48349440,71,82
48349512,72,84
48349586,26,85
48350451,172,80
48352439,49,81
48352489,31,83
48353446,188,80
48353636,2792,34
48356431,110,80
48356542,42,81
48356585,105,82
48356691,70,84
48356762,213,86
48356976,27,85
48357440,64,82
48357505,32,83
48359444,188,80
48359633,14,84
48359648,13,86
48360452,41,81
48361443,636,82
48362443,165,80
48362609,30,83
48363477,15,85
48364439,48,81
48364488,73,84
48365440,190,80
48365632,65,82
48365698,215,86
48367439,32,83
48368448,159,80
48368608,41,81
48369443,71,82
48369515,14,84
48370443,11,85
48371439,119,80
48371559,14,86
48372443,20,81
48372464,28,83
48373443,986,34
48374432,165,80
48374598,1830,34
48376431,42,81
48376474,74,82
48376549,72,84
48377439,206,80
48377646,58,82
48377705,30,83
48377736,217,86
48377954,27,85
48379440,15,84
48380442,176,80
48380619,42,81
48381439,1358,82
48382798,29,83
48383445,115,80
48383561,210,86
48384444,33,81
48384478,80,84
48384559,27,85
48385451,58,82
48386443,163,80
48387419,50,83
48388452,45,81
48389463,182,80
48389646,70,82
48389717,14,84
48389732,13,86
48391254,46,88
48391452,10,85
48392440,172,80
48392613,40,81
48392654,28,83
48393443,1985,34
48395431,111,80
48395543,885,34
48396431,14,81
48396446,52,82
48396499,71,84
48396571,205,86
48396777,99,87
48397443,71,82
48397515,31,83
48398458,159,80
48398618,27,85
48399452,14,84
48400445,41,81
48401466,183,80
48401650,511,82
48402162,205,86
48402441,30,83
48404466,158,80
48404625,41,81
48404668,72,84
48405439,65,82
48405505,26,85
48407498,112,80
48407611,31,83
48407643,14,86
48408439,13,81
48409449,57,82
48409507,14,84
48410439,159,80
48412447,55,81
48412503,30,83
48412534,10,85
48413465,178,80
48413644,507,82
48414152,206,86
48414433,73,84
48416442,165,80
48416609,41,81
48417442,72,82
48417515,30,83
48419439,160,80
48419600,14,84
48419615,28,86
48419644,26,85
48420451,13,81
48421439,58,82
48422450,159,80
48422610,30,83
48424438,49,81
48424488,14,84
48425465,189,80
48425655,2773,34
48428431,104,80
48428536,40,81
48428577,121,82
48428699,29,83
48428729,213,86
48428943,15,85
48429440,65,82
48429506,72,84
48431458,160,80
48431619,13,86
48432449,42,81
48432492,30,83
48433449,495,82
48433946,26,85
48434439,170,80
48434610,71,84
48436443,42,81
48437472,178,80
48437651,66,82
48437718,32,83
48437751,217,86
48439439,47,84
48440466,158,80
48440626,41,81
48440668,10,85
48441254,40,88
48441444,64,82
48442442,30,83
48443439,136,80
48443576,14,86
48444451,13,81
48444465,14,84
48445439,990,34
48446432,159,80
48446592,1836,34
48448431,42,81
48448474,200,82
48448675,29,83
48448705,27,85
48449441,199,80
48449641,57,82
48449699,73,84
48449773,218,86
48452456,158,80
48452615,42,81
48452658,31,83
48453458,508,82
48454458,76,84
48454535,27,85
48455448,124,80
48455573,211,86
48456445,13,81
48457461,58,82
48457520,31,83
48458451,163,80
48459443,14,84
48460443,41,81
48461475,182,80
48461658,65,82
48461724,14,86
48461739,10,85
48462443,29,83
48464439,176,80
48464616,41,81
48464658,14,84
48465439,529,82
48467439,146,80
48467586,30,83
48467617,225,86
48468448,20,81
48468469,15,85
48469446,64,82
48469511,73,84
48470442,163,80
48472439,48,81
48472488,30,83
48473447,193,80
48473641,2787,34
48476431,104,80
48476536,41,81
48476578,111,82
48476690,70,84
48476761,213,86
48476975,27,85
48477440,64,82
48477505,30,83
48479465,206,80
48479672,14,84
48479687,13,86
48480442,41,81
48481439,495,82
48482440,172,80
48482613,29,83
48482643,15,85
48484443,48,81
48484492,73,84
48485443,191,80
48485635,66,82
48485702,230,86
48487448,34,83
48488449,159,80
48488609,41,81
48489439,78,82
48489518,14,84
48489533,10,85
48491254,70,72
48491352,80,40
48491436,136,80
48491573,14,86
48491588,88,88
48492449,13,81
48492463,30,83
48493451,978,34
48494432,170,80
48494603,1825,34
48496431,53,81
48496485,143,82
48496629,72,84
48496702,26,85
48496730,104,87
48497452,218,80
48497672,69,82
48497742,33,83
48497776,225,86
48499443,14,84
48500458,159,80
48500618,43,81
48501439,495,82
48502439,29,83
48503497,112,80
48503610,206,86
48503817,15,85
48504439,19,81
48504459,74,84
48505451,58,82
48506451,159,80
48507439,63,83
48508439,42,81
48509472,177,80
48509650,66,82
48509717,14,84
48509732,13,86
48510445,10,85
48512440,171,80
48512613,40,81
48512654,29,83
48513443,643,82
48514436,73,84
48515458,97,80
48515556,253,86
48516439,13,81
48517440,71,82
48517512,31,83
48517544,28,85
48518439,172,80
48519452,14,84
48520442,41,81
48521440,179,80
48521620,2808,34
48524431,117,80
48524549,40,81
48524590,67,82
48524658,30,83
48524689,73,84
48524763,213,86
48524977,27,85
48525440,58,82
48527465,206,80
48527672,31,83
48527704,14,86
48528439,42,81
48529459,498,82
48529958,72,84
48530452,159,80
48531439,60,85
48532458,41,81
48532500,30,83
48533465,178,80
48533644,65,82
48533710,218,86
48534439,15,84
48536458,164,80
48536623,41,81
48537439,71,82
48537511,29,83
48538454,10,85
48539465,130,80
48539596,14,84
48539611,13,86
48540439,13,81
48541254,40,88
48541452,977,34
48542432,165,80
48542598,1830,34
48544431,49,81
48544481,69,82
48544551,28,83
48544580,73,84
48545440,199,80
48545640,57,82
48545698,218,86
48545917,27,85
48547452,31,83
48548446,165,80
48548612,41,81
48549442,505,82
48549948,73,84
48551439,104,80
48551544,263,86
48552461,16,81
48552478,31,83
48552510,27,85
48553451,58,82
48554449,158,80
48554608,14,84
48556442,42,81
48557467,182,80
48557650,66,82
48557717,29,83
48557747,14,86
48559459,14,84
48559474,10,85
48560449,162,80
48560612,42,81
48561446,1981,34
48563430,108,80
48563539,889,34
48564431,20,81
48564452,72,82
48564525,32,83
48564558,73,84
48564632,210,86
48565439,58,82
48566439,169,80
48566609,31,85
48567442,68,83
48568448,42,81
48569442,222,80
48569665,508,82
48570174,73,84
48570248,223,86
48572442,172,80
48572615,40,81
48572656,30,83
48573442,65,82
48573508,26,85
48574445,15,84
48575442,151,80
48575594,13,86
48576445,13,81
48577445,64,82
48577510,28,83
48578443,159,80
48579449,15,84
48580440,49,81
48580490,10,85
