timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping
16062592,-0.0011506315,0.0028535118,0.00136684,3956,0,0.017729081,-0.06547113,-9.825588,3956,0
16066556,0.001836811,-0.0009976969,0.0011691332,3964,0,0.0062352037,-0.06345868,-9.816725,3964,0
16070614,0.0012587061,-0.0007732502,0.00043095293,4058,0,0.0012894257,0.0070466567,-9.770386,4058,0
16074653,-0.0045351833,0.001222048,0.00010036044,4039,0,0.010924549,-0.008565852,-9.783394,4039,0
16078536,-0.0023282464,-0.0036417134,-0.0011065056,3883,0,-0.01205541,-0.030986149,-9.770515,3883,0
16082776,1.2718404e-05,-0.0006156546,0.00038030665,4240,0,-0.035547342,-0.004236311,-9.772163,4240,0
16086606,-0.0016784042,0.0029191833,-0.0026943192,3830,0,-0.018156203,-0.027597956,-9.797567,3830,0
16090794,-0.00023007022,-0.00075276586,-0.0050259004,4188,0,-0.021313645,-0.028364608,-9.768862,4188,0
16094761,-0.0010569689,0.00044253914,-0.0021598989,3967,0,-0.03174073,-0.0020060206,-9.773455,3967,0
16098806,-0.0010869917,-0.001507871,-0.0012938675,4045,0,0.022344667,-0.015364031,-9.807444,4045,0
16102710,-0.0011022039,-0.00083189976,-0.0018504403,3904,0,0.033724066,-0.008621944,-9.814768,3904,0
16106749,-0.0012680966,0.0024632425,-0.0028782992,4039,0,0.012403704,-0.03983423,-9.83153,4039,0
16110623,-0.00097374554,0.00092699536,-0.0003724824,3874,0,0.015182599,-0.049221512,-9.847923,3874,0
16114787,-0.0036376144,-0.0005125709,-4.671334e-05,4164,0,-0.002876488,-0.031131275,-9.828301,4164,0
16118787,-0.0051991334,-0.00074243033,-0.0018027878,4000,0,-0.028810844,-0.03999304,-9.800706,4000,0
16122705,-0.0043421127,-0.000116149524,-0.0031787022,3918,0,-0.017866425,-0.025312861,-9.783192,3918,0
16127038,-0.00047634004,0.001007835,-0.0011218812,4333,0,-0.0010742946,-0.036612548,-9.805189,4333,0
16130837,0.002597361,0.004149143,0.00030477293,3799,0,0.017665694,-0.042341217,-9.788498,3799,0
16135148,-0.0006893567,0.0027344057,0.0021464487,4311,0,0.019536795,-0.050719474,-9.765873,4311,0
16139027,-0.0020250939,0.00034001612,0.0019315463,3879,0,0.0026876547,-0.035369307,-9.777609,3879,0
16142848,0.00016867404,-4.1253774e-05,-0.00020015909,3821,0,0.022664167,-0.020886065,-9.764476,3821,0
16146800,0.00026654825,-0.0023234622,-0.000835089,3952,0,0.0395088,-0.022867672,-9.771276,3952,0
16150638,-0.000101368045,-0.0010490064,-0.00015676153,3838,0,0.04692265,-0.024891974,-9.774026,3838,0
16154778,-0.0007663581,0.00019038017,0.00020933934,4140,0,0.03401523,-0.02162449,-9.790726,4140,0
16158653,0.00011127324,-0.0025240507,-0.003798534,3875,0,0.028564833,-0.022560662,-9.7914295,3875,0
16162713,0.0009447757,-0.0020111357,-0.0020321459,4060,0,0.034036685,-0.013482885,-9.756558,4060,0
16166735,0.0015840493,0.0006614995,-0.00032068728,4022,0,0.008847321,-0.019213747,-9.754326,4022,0
16170692,2.932913e-05,-0.0008155422,-0.0015575284,3957,0,0.02011734,-0.062969215,-9.77857,3957,0
16174630,0.00030871626,0.00081597076,-0.0011248877,3938,0,0.011741549,-0.03683975,-9.785217,3938,0
16178786,0.0042083003,0.0007496464,-0.0024112524,4156,0,-0.017941965,-0.0049990015,-9.778612,4156,0
16182806,0.0016000464,-0.0027732258,-0.0013544861,4020,0,0.00068934215,-0.030016627,-9.819857,4020,0
16186624,-0.0005978164,-0.0013438137,-0.00016991439,3818,0,0.02018864,-0.052128278,-9.835188,3818,0
